c00882;;0;ЦОП Подушка "Думка" прямоугольник;ЦОП Подушка "Думка" прямоугольник;;cpPilRec;1;False;ЦОП Подушка прямоуго;;0;False;Z;
c00883;;0;ЦОП Подушка "Думка" треугольник;ЦОП Подушка "Думка" треугольник;;cpPilTri;1;False;ЦОП Подушка треуголь;;0;False;Z;
c00884;;0;ЦОП Подушка "Думка" белая;ЦОП Подушка "Думка" белая;;cpPilWhit;1;False;ЦОП Подушка белая;;0;False;Z;
c00885;;0;ЦОП Подушка "Думка" двухцветная;ЦОП Подушка "Думка" двухцветная;;cpPilDubC;1;False;ЦОП Подушка двухцвет;;0;False;Z;
c00886;;0;ЦОП Подушка "Думка" c рюшью;ЦОП Подушка "Думка" c рюшью;;cpPilRush;1;False;ЦОП Подушка c рюшью;;0;False;Z;
c00142;;0;Аналог 20х36;;;A20-36;1;False;а 20х36;00002;0;False;;
c00350;;0;Цифровая 13х30;;;13-30;1;False;Ц13х30;;0;False;;
c00353;;0;Цифровая 13х38;;;13-38;1;False;Ц13х38;;0;False;;
c00354;;0;Цифровая 15х38;;;15-38;1;False;Ц15х38;;0;False;;
c00355;;0;Цифровая 15х30;;;15-30;1;False;Ц15х30;;0;False;;
c00356;;0;Художественное фото 30*40 след. экз;;;H30-40+;2;False;ХФ3040+;;0;False;;
c00367;;0;Аналог 10х15 по куп. 25 шт.;;;A10-15К;1;False;а 10х15 25шт;;0;False;;
c00896;;0;Цифровая 25х42;;;25-42;1;False;Ц25х42;;0;True;ZH;
c00897;;0;Панорамы Новосибирска;;;;0;False;;;0;False;;
c00898;;0;Н1_30х187_печать_Панорама Новосибирска;Н1_30х187_печать_Панорама Новосибирска;;;1;False;Н1_30х187_печать;;0;False;Z;
c00899;;0;Н1_45х281_печать_Панорама Новосибирска;Н1_45х281_печать_Панорама Новосибирска;;;1;False;Н1_45х281_печать;;0;False;Z;
c00900;;0;Н1_60х298_печать_Панорама Новосибирска;Н1_60х298_печать_Панорама Новосибирска;;;1;False;Н1_60х298_печать;;0;False;Z;
c00901;;0;Н1_30х187_ПОСТЕР_Панорама Новосибирска;Н1_30х187_ПОСТЕР_Панорама Новосибирска;;;1;False;Н1_30х187_ПОСТЕР;;0;False;Z;
c00902;;0;Н1_45х281_ПОСТЕР_Панорама Новосибирска;Н1_45х281_ПОСТЕР_Панорама Новосибирска;;;1;False;Н1_45х281_ПОСТЕР;;0;False;Z;
c00903;;0;Н1_60х298_ПОСТЕР_Панорама Новосибирска;Н1_60х298_ПОСТЕР_Панорама Новосибирска;;;1;False;Н1_60х298_ПОСТЕР;;0;False;Z;
